Vehicle Group      , Long haul , Regional delivery , Urban delivery , Municipal utility , Con-struction , Heavy Urban , Urban , Suburban , Interurban , Coach
53                 , ---       , 0.00              , 0.50           , ---               , ---           , ---         , ---   , ---      , ---        , ---
54                 , ---       , 0.00              , 0.50           , ---               , ---           , ---         , ---   , ---      , ---        , ---
1s                 , ---       , 0.00              , 0.50           , ---               , ---           , ---         , ---   , ---      , ---        , ---
1                  , ---       , 0.00              , 0.50           , ---               , ---           , ---         , ---   , ---      , ---        , ---
2                  , 0.00      , 0.00              , 0.50           , ---               , ---           , ---         , ---   , ---      , ---        , ---
3                  , ---       , 0.00              , 0.50           , ---               , ---           , ---         , ---   , ---      , ---        , ---
4                  , 0.00      , 0.00              , 0.50           , 0.50              , 0.00          , ---         , ---   , ---      , ---        , ---
5                  , 0.00      , 0.00              , 0.50           , ---               , 0.00          , ---         , ---   , ---      , ---        , ---
9                  , 0.00      , 0.00              , ---            , 0.50              , 0.00          , ---         , ---   , ---      , ---        , ---
10                 , 0.00      , 0.00              , ---            , ---               , 0.00          , ---         , ---   , ---      , ---        , ---
11                 , 0.00      , 0.00              , ---            , 0.50              , 0.00          , ---         , ---   , ---      , ---        , ---
12                 , 0.00      , 0.00              , ---            , ---               , 0.00          , ---         , ---   , ---      , ---        , ---
16                 , ---       , ---               , ---            , ---               , 0.00          , ---         , ---   , ---      , ---        , ---
31 / P31SD / P31DD , ---       , ---               , ---            , ---               , ---           , 0.50        , 0.50  , 0.50     , 0.00       , ---
32 / P32SD / P32DD , ---       , ---               , ---            , ---               , ---           , ---         , ---   , ---      , 0.00       , 0.00
33 / P33SD / P33DD , ---       , ---               , ---            , ---               , ---           , 0.50        , 0.50  , 0.50     , 0.00       , ---
34 / P34SD / P34DD , ---       , ---               , ---            , ---               , ---           , ---         , ---   , ---      , 0.00       , 0.00
35 / P35SD / P35DD , ---       , ---               , ---            , ---               , ---           , 0.50        , 0.50  , 0.50     , 0.00       , ---
36 / P36SD / P36DD , ---       , ---               , ---            , ---               , ---           , ---         , ---   , ---      , 0.00       , 0.00
37 / P37SD / P37DD , ---       , ---               , ---            , ---               , ---           , 0.50        , 0.50  , 0.50     , 0.00       , ---
38 / P38SD / P38DD , ---       , ---               , ---            , ---               , ---           , ---         , ---   , ---      , 0.00       , 0.00
39 / P39SD / P39DD , ---       , ---               , ---            , ---               , ---           , 0.50        , 0.50  , 0.50     , 0.00       , ---
40 / P40SD / P40DD , ---       , ---               , ---            , ---               , ---           , ---         , ---   , ---      , 0.00       , 0.00
